src,kind,dst,type,timeStamp,timeAfterBegginSniffing,entropia
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.28778,0.017508983612060547,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.288694,0.018422842025756836,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.2915578,0.021286725997924805,0.0
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649401.292321,0.022049903869628906,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.293034,0.02276301383972168,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.29373,0.02345895767211914,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.294388,0.024116992950439453,0.0
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649401.295031,0.024760007858276367,0.0
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649401.295748,0.025476932525634766,0.0
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649401.5010629,0.23079180717468262,0.0
b8:3b:cc:53:19:e6,UNICAST,01:00:5e:00:00:fb,2048,1694649401.617672,0.3474009037017822,0.0
b8:3b:cc:53:19:e6,UNICAST,33:33:00:00:00:fb,34525,1694649401.623662,0.3533909320831299,0.0
b8:3b:cc:53:19:e6,UNICAST,01:00:5e:00:00:fb,2048,1694649401.926667,0.6563959121704102,0.41381685030363374
b8:3b:cc:53:19:e6,UNICAST,33:33:00:00:00:fb,34525,1694649401.9303548,0.6600837707519531,0.39124356362925566
b8:3b:cc:53:19:e6,UNICAST,01:00:5e:00:00:fb,2048,1694649401.932993,0.6627218723297119,0.5916727785823275
b8:3b:cc:53:19:e6,UNICAST,33:33:00:00:00:fb,34525,1694649401.934895,0.6646239757537842,0.5665095065529053
3c:06:30:51:ba:08,UNICAST,01:00:5e:7f:ff:fa,2048,1694649402.1645172,0.8942461013793945,0.6962122601251458
3c:06:30:51:ba:08,UNICAST,01:00:5e:00:00:fb,2048,1694649402.212527,0.942255973815918,0.672294817075638
3c:06:30:51:ba:08,UNICAST,33:33:00:00:00:fb,34525,1694649402.216458,0.9461870193481445,0.6500224216483541
b8:3b:cc:53:19:e6,UNICAST,01:00:5e:00:00:fb,2048,1694649402.229513,0.9592418670654297,0.7424875695421236
b8:3b:cc:53:19:e6,UNICAST,33:33:00:00:00:fb,34525,1694649402.232468,0.9621968269348145,0.7219280948873623
b8:3b:cc:53:19:e6,UNICAST,01:00:5e:00:00:fb,2048,1694649403.463439,2.1931679248809814,0.7918583525674836
b8:3b:cc:53:19:e6,UNICAST,33:33:00:00:00:fb,34525,1694649403.4680698,2.197798728942871,0.7732266742876346
b8:3b:cc:53:19:e6,BROADCAST,ff:ff:ff:ff:ff:ff,2054,1694649403.469696,2.199424982070923,0.828055725379504
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649403.927914,2.6576428413391113,1.0434356963218767
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649403.931055,2.6607840061187744,1.0211191885631825
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649403.94458,2.674309015274048,0.9996551889197438
2e:54:75:b4:8d:90,UNICAST,3c:06:30:51:ba:08,2048,1694649403.946713,2.6764419078826904,0.9790231724570173
3c:06:30:51:ba:08,UNICAST,2e:54:75:b4:8d:90,2048,1694649403.948129,2.6778578758239746,0.9591963191047147
